node_id,Location,lat,lon,region,industry,type,capacity_share_percent,landmass
p84,10_79_1000000.0,10,79,Middle East & India,Green Ammonia,production,0.1020461443871224,Eurasia_Africa
p85,17_25_1000000.0,17,25,East Africa,Green Ammonia,production,2.555915487213269,Eurasia_Africa
p86,-9_17_1000000.0,-9,17,West Africa,Green Ammonia,production,0.3465045949539694,Eurasia_Africa
p87,-23_-52_1000000.0,-23,-52,S Latin America,Green Ammonia,production,0.3652213165009598,SouthAmerica
p88,59_-3_1000000.0,59,-3,Western Europe,Green Ammonia,production,0.0162294667799637,Eurasia_Africa
p89,-15_-72_1000000.0,-15,-72,S Latin America,Green Ammonia,production,0.5073531788122908,SouthAmerica
p90,-17_31_1000000.0,-17,31,East Africa,Green Ammonia,production,0.2965134933072771,Eurasia_Africa
p91,16_46_1000000.0,16,46,Red Sea,Green Ammonia,production,1.6857905699965086,Eurasia_Africa
p92,16_6_1000000.0,16,6,West Africa,Green Ammonia,production,0.5647868831716323,Eurasia_Africa
p93,45_35_1000000.0,45,35,Mediterranean,Green Ammonia,production,0.0518267027186739,Eurasia_Africa
p94,7_122_1000000.0,7,122,South-east Asia,Green Ammonia,production,0.0371762280516204,Philippines
p95,44_-87_1000000.0,44,-87,NA East Coast,Green Ammonia,production,0.0636764919919315,NorthAmerica
p96,45_-82_1000000.0,45,-82,NA East Coast,Green Ammonia,production,0.0846042259787989,NorthAmerica
p97,18_-67_1000000.0,18,-67,N Latin America,Green Ammonia,production,0.0429412232689329,NorthAmerica
p98,30_55_1000000.0,30,55,Middle East & India,Green Ammonia,production,2.011114686200901,Eurasia_Africa
p99,-23_132_1000000.0,-23,132,East Australia,Green Ammonia,production,1.4678357732912353,Australia
